;TECHPUBLAYERNAME;uuid
415;ch.swisstopo.geologie-rohstoffe-ziegel_verarbeitung;93ad193c-cb3e-48a4-8977-6775c403c579
416;ch.swisstopo.geologie-spezialkarten_schweiz.metadata;5a7e79b5-0aef-4514-9df4-62fb92edee97
417;ch.swisstopo.geologie-spezialkarten_schweiz_papier.metadata;0d93edd4-5ab4-47e1-b119-6df7289eb429
418;ch.swisstopo.geologie-spezialkarten_schweiz_vector.metadata;b15b89ac-d7e5-412c-bd4a-5077c935806c
419;ch.swisstopo.geologie-tektonische_karte;a4cdef47-505e-41ab-b6a7-ad5b92d80e41
420;ch.swisstopo.geologie-tektonische_karte_papier.metadata;9a6cf8f1-2475-4085-b202-8cd0fe0f0ca8
421;ch.swisstopo.geologie-tiefengeothermie_projekte;2df11e59-d85a-40cf-98cf-4b941577e23c
422;ch.swisstopo.hebungsraten;80a03e2f-7827-4497-8f0a-62ab8816d609
423;ch.swisstopo.hiks-dufour;d12f970f-6a83-4c33-8cfe-7504b6a5dca9
424;ch.swisstopo.hiks-dufour.metadata;bfa9994f-c8b1-4dc1-90b2-fe1211bf2d22
425;ch.swisstopo.hiks-siegfried;d3b21424-70a4-4984-a693-aa7f11813c53
426;ch.swisstopo.hiks-siegfried-ta25.metadata;86c12e05-aabf-4384-a88a-eeea18044e83
427;ch.swisstopo.hiks-siegfried-ta50.metadata;b8642253-c0df-4d39-b92e-d05467caf0f5
428;ch.swisstopo.images-swissimage-dop10.metadata;3f340030-15de-4ab6-a1b1-5f33e09a997f
429;ch.swisstopo.landesschwerenetz;95879cd4-e93d-4d4d-af57-4ec6731b9c97
430;ch.swisstopo.lotabweichungen;ef5df57e-8eb3-4b55-96e5-0e70adead7ad
431;ch.swisstopo.lubis-bildstreifen;7392cfbf-2f3b-446f-934f-604bc9410978
432;ch.swisstopo.lubis-luftbilder-dritte-firmen;f614decc-a4f2-480f-b007-b8d9b99bdde5
433;ch.swisstopo.lubis-luftbilder-dritte-kantone;5327cb7b-269b-4d02-b199-19418ee33d54
434;ch.swisstopo.lubis-luftbilder_farbe;352c0302-fac6-455b-bd81-092850a7ad4e
435;ch.swisstopo.lubis-luftbilder_infrarot;aee873f9-127a-4567-86a9-abb740bb9706
436;ch.swisstopo.lubis-luftbilder_schraegaufnahmen;b38ee443-8965-4a25-bb99-626b32c6227f
