;TECHPUBLAYERNAME;uuid
330;ch.swisstopo-vd.amtliche-vermessung;a3c0f7fb-1be0-4385-9c54-33b65ae3e1ae
331;ch.swisstopo-vd.geometa-gemeinde;9114e8ee-f90c-4c05-af2e-0fe999f833bb
332;ch.swisstopo-vd.geometa-grundbuch;dad4a841-708b-4a99-94bc-743bb28e0ab0
333;ch.swisstopo-vd.geometa-nfgeom;601959f6-8345-429e-884c-8f0d37c414da
334;ch.swisstopo-vd.geometa-periodische_nachfuehrung;67e2ea0a-868f-445e-848a-c33eb1528ec5
335;ch.swisstopo-vd.ortschaftenverzeichnis_plz;972cd117-f1ed-4818-be14-233d89ab9fdf
336;ch.swisstopo-vd.spannungsarme-gebiete;c8b1a15e-b4db-49b0-ad3a-5b113c072fca
337;ch.swisstopo-vd.stand-oerebkataster;fb60594e-2b16-45af-9bc0-b444035070f5
