;UUID;Protokoll;URL
0;f7485f4f-2224-4b76-a43c-52cbf8883a42;WWW:LINK;https://www.swisstopo.admin.ch/de/geodata/geology/maps/geocover.html
1;f7485f4f-2224-4b76-a43c-52cbf8883a42;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.swisstopo.geologie-geocover.metadata/data.zip
2;f7485f4f-2224-4b76-a43c-52cbf8883a42;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
3;f7485f4f-2224-4b76-a43c-52cbf8883a42;CHTOPO:specialised-geoportal;http://map.geologieportal.ch
0;d3b21424-70a4-4984-a693-aa7f11813c53;WWW:LINK;https://www.swisstopo.admin.ch/de/wissen-fakten/geschichte-sammlungen/historische-kartenwerke/siegfriedkarte.html
1;d3b21424-70a4-4984-a693-aa7f11813c53;WWW:DOWNLOAD-URL;https://www.swisstopo.admin.ch/de/geodata/maps/historical/siegfried25.html
2;d3b21424-70a4-4984-a693-aa7f11813c53;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?noHeader=true&lang=de&X=174500.00&Y=655000.00&zoom=1&topic=swisstopo&bgLayer=ch.swisstopo.pixelkarte-farbe&catalogNodes=1396,1427&layers=ch.swisstopo.hiks-siegfried
3;d3b21424-70a4-4984-a693-aa7f11813c53;OGC:WMTS;http://wmts.geo.admin.ch
0;eaa79f58-0dc7-4cfc-8308-f7adc33d933a;WWW:LINK;https://www.swisstopo.admin.ch/de/geodata/maps/smw/smw_lightbase.html
1;eaa79f58-0dc7-4cfc-8308-f7adc33d933a;WWW:LINK;http://vectortiles.geo.admin.ch/
0;db5a52b4-0f5f-4998-a9a8-dd9539f93809;WWW:LINK;https://www.swisstopo.admin.ch/de/geodata/images/ortho/swissimage10.html
1;db5a52b4-0f5f-4998-a9a8-dd9539f93809;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=swisstopo&lang=de&bgLayer=voidLayer&X=179943.14&Y=673886.99&zoom=1&catalogNodes=1476,1430&layers=ch.swisstopo.swissimage-product
0;f9c31be1-887c-4203-8b11-57b40ecc039b;WWW:LINK;https://www.swisstopo.admin.ch/de/geodata/maps/smr.html
0;74aef814-0c97-4261-a2c1-df4a948aca8e;WWW:LINK;https://www.swisstopo.admin.ch/de/geodata/maps/smr.html
0;27866f0f-12d7-4364-bcce-9a0c17558173;WWW:LINK;https://www.swisstopo.admin.ch/de/geodata/geoservices/swisstopo-wmts.html
