;concept-cat_id;de;fr;it;en;all_nr;all_pub_unpub;harvested_nr (valid=-1)
http://custom.shared.obj.ch/concept#6fff658f-2693-45ee-a6e1-b4a8497afcd4;6fff658f-2693-45ee-a6e1-b4a8497afcd4;Fischart;espèce de poisson;specie di pesce;fish specie;1;1;0
http://custom.shared.obj.ch/concept#d2ad50f3-e045-4871-9904-64d249f7defd;d2ad50f3-e045-4871-9904-64d249f7defd;Biodiversität;biodiversité;biodiversità;biodiversity;15;16;5
http://custom.shared.obj.ch/concept#7e87464a-2c33-440d-aa5c-04e548ecf368;7e87464a-2c33-440d-aa5c-04e548ecf368;Reiten;équitation;equitazione;horse back riding;1;1;0
http://custom.shared.obj.ch/concept#954d37f1-f271-4649-9ddd-08c1343c5964;954d37f1-f271-4649-9ddd-08c1343c5964;Römer;romain;romano;roman;2;2;0
http://custom.shared.obj.ch/concept#c2b6b811-a1d1-41eb-ab7d-c0887aa516b4;c2b6b811-a1d1-41eb-ab7d-c0887aa516b4;Bodeneigenschaften;propriétés du sol;proprietà del suolo;soil properties;8;8;5
http://custom.shared.obj.ch/concept#129b3691-8b86-45db-851b-91d95430a8ed;129b3691-8b86-45db-851b-91d95430a8ed;Bodenqualität;qualité du sol;qualità del suolo;soil quality;2;2;0
http://custom.shared.obj.ch/concept#5b9a06a3-9333-4e6f-a529-12fd0aeb80e1;5b9a06a3-9333-4e6f-a529-12fd0aeb80e1;Bodenkartierung;cartographie des sols;mappatura del suolo;soil mapping;3;3;0
http://custom.shared.obj.ch/concept#d62f582c-571c-47df-8c95-a9fc18795b2a;d62f582c-571c-47df-8c95-a9fc18795b2a;Kulturdenkmal;monument culturel;monumento culturale;cultural monument;3;3;1
http://custom.shared.obj.ch/concept#6ed74b95-ac86-4562-b86c-0d678256c485;6ed74b95-ac86-4562-b86c-0d678256c485;Stadtklima;climat urbain;clima urbano;urban climate;1;1;0
http://custom.shared.obj.ch/concept#b596f9d0-1405-4c5b-b3b7-002c5e5f0565;b596f9d0-1405-4c5b-b3b7-002c5e5f0565;Altersheim;maison de retraite;casa per anziani;retirement home;2;2;0
