;concept-cat_id;de;fr;it;en;all_nr;all_pub_unpub;harvested_nr (valid=-1)
http://custom.shared.obj.ch/concept#26ace107-0692-4029-b981-f080ce1bd26d;26ace107-0692-4029-b981-f080ce1bd26d;Magmatisches Gestein;roche magmatique;roccia magmatica;igneous rock;1;1;0
http://geocat.ch/concept#143;143;Höhenkote;cote d'altitude;quota altimetrica;spot height;6;6;0
http://custom.shared.obj.ch/concept#3c170e9d-3b1a-4fc2-95f1-034919d1019d;3c170e9d-3b1a-4fc2-95f1-034919d1019d;Historisches Gebäude;bâtiment historique;edificio storico;historical building;4;4;0
http://custom.shared.obj.ch/concept#c81091b6-2f06-4150-b464-302aea98a88f;c81091b6-2f06-4150-b464-302aea98a88f;Katalog;catalogue;catalogo;catalogue;99;99;0
http://geocat.ch/concept#145;145;Höhenpunkt;point altimétrique;punto quotato;spot elevation;6;6;0
http://www.geocat.ch/concept#3cf3ddcc-e617-4b29-97ce-5ab707625bc2;3cf3ddcc-e617-4b29-97ce-5ab707625bc2;Route;itinéraire;itinerario;route;110;112;13
http://www.geocat.ch/concept#b5c01cab-332f-4493-98ad-1403473a6063;b5c01cab-332f-4493-98ad-1403473a6063;Darstellungsdienst;service de consultation;servizio di rappresentazione;presentation service;24;26;2
http://geocat.ch/concept#233;233;Rohrleitung;conduite;condotta;pipeline;68;69;3
http://www.geocat.ch/concept#caffd41d-8ffe-4a1d-869e-8a9a5717eafe;caffd41d-8ffe-4a1d-869e-8a9a5717eafe;Zeckenstich;piqûre de tique;morso di zecca;tick bite;1;1;0
http://custom.shared.obj.ch/concept#86b0b24a-0ceb-4bc9-9116-69681e48d377;86b0b24a-0ceb-4bc9-9116-69681e48d377;Sperrung;verrouillage;blocco;blocking;3;3;0
http://custom.shared.obj.ch/concept#335eb0f8-8d2b-4d6f-9ece-313af5ddb7f8;335eb0f8-8d2b-4d6f-9ece-313af5ddb7f8;Stadtbefestigung;fortifications de la ville;forificazione della città;town fortification;1;1;0
http://custom.shared.obj.ch/concept#eaeb5d8f-b32f-40dc-82e7-474ca2cfa29b;eaeb5d8f-b32f-40dc-82e7-474ca2cfa29b;Grundnutzung;affectation primaire;utilizzazione di base;primary use;14;14;0
http://geocat.ch/concept#32b4aaed-2d13-45b6-9932-7d14e11785a1;32b4aaed-2d13-45b6-9932-7d14e11785a1;Grundwassermächtigkeit;hauteur d'eau souterraine;spessore dell'acqua sotterranee;depth of the groundwater;1;1;0
http://geocat.ch/concept#315;315;Waldwiese;prairie forestière;prato boschivo;forest meadow;14;15;0
http://geocat.ch/concept#312;312;Waldnutzung;usage de la fôret;utilizzazione del bosco;forest use;2;5;0
http://geocat.ch/concept#94;94;Geländedarstellung;représentation du terrain;rappresentazione del terreno;terrain representation;43;50;2
http://www.geocat.ch/concept#1a573c46-7882-4262-b5ac-8c323f81506d;1a573c46-7882-4262-b5ac-8c323f81506d;AtOS (Atom OpenSearch);AtOS (Atom OpenSearch);AtOS (Atom OpenSearch);AtOS (Atom OpenSearch);2;2;0
http://www.geocat.ch/concept#474fdc69-65e6-4954-bd14-5ceee60b72ff;474fdc69-65e6-4954-bd14-5ceee60b72ff;Minimales Geodatenmodel MGDM;modèle de géodonnées minimal MGDM;modello di geodati minimi MGDM;minimum geodata model MGDM;44;47;3
http://www.geocat.ch/concept#d09dd314-4fa6-4a25-851e-ece796c98551;d09dd314-4fa6-4a25-851e-ece796c98551;Landwirtschaftliche Bewirtschaftung;exploitation agricole;gestione agricola;agricultural exploitation;46;50;2
http://custom.shared.obj.ch/concept#edab6b44-d0a1-4b0f-a68c-3b8aee290cc0;edab6b44-d0a1-4b0f-a68c-3b8aee290cc0;Kantonaler Richtplan;plan directeur cantonal;piano direttore cantonale;cantonal structure plan;3;4;0
http://geocat.ch/concept#e6485c01-fe69-485e-b194-035f682463db;e6485c01-fe69-485e-b194-035f682463db;opendata.swiss;opendata.swiss;opendata.swiss;opendata.swiss;2060;2085;1320
http://www.geocat.ch/concept#4854ea37-d269-4400-8282-29adbef73956;4854ea37-d269-4400-8282-29adbef73956;Siedlungsentwicklung;développement urbain;sviluppo degli insediamenti;urban development;6;8;1
http://geocat.ch/concept#33e6396e-d5e5-42b3-bf2e-93f08bf2366a;33e6396e-d5e5-42b3-bf2e-93f08bf2366a;Grundwasserfassung;captage des eaux souterraines;captazione d'acqua sotterranea;groundwater catchment;7;7;0
http://geocat.ch/concept#291;291;Uferlinie;ligne de rives;linea di rive;shore line;3;3;1
http://custom.shared.obj.ch/concept#2a56a38e-26c4-4802-9e65-a57998c3335c;2a56a38e-26c4-4802-9e65-a57998c3335c;Bauprojekt;projet de construction;progetto di costruzione;construction project;1;1;0
http://custom.shared.obj.ch/concept#d719d11c-d8c7-411d-aa69-987f443b603a;d719d11c-d8c7-411d-aa69-987f443b603a;Invasiv;invasive;invasivo;invasive;7;7;0
http://www.geocat.ch/concept#6e89b2eb-278c-48e2-982f-40072ffdc56f;6e89b2eb-278c-48e2-982f-40072ffdc56f;Unternehmen;entreprise;impresa;company;16;16;6
http://custom.shared.obj.ch/concept#cb0e0ff1-9cf9-4c7a-bcbd-3a21773790e3;cb0e0ff1-9cf9-4c7a-bcbd-3a21773790e3;Treppe;escalier;scala;stairs;14;14;0
http://custom.shared.obj.ch/concept#bf3bd716-9b0f-4032-858c-0436931dc50b;bf3bd716-9b0f-4032-858c-0436931dc50b;Bewirtschaftungseinheit;unité de gestion;unità di gestione;unit of management;12;12;0
http://custom.shared.obj.ch/concept#7f829266-0428-47e2-844b-cdf50024355a;7f829266-0428-47e2-844b-cdf50024355a;Betriebsstandort;aire d'exploitation;sito aziendale;industrial site;4;4;2
http://www.geocat.ch/concept#e6b026bd-2d26-49bb-8fc4-62d904c9fb99;e6b026bd-2d26-49bb-8fc4-62d904c9fb99;Phänologie;phénologie;fenologia;phenology;1;1;0
http://custom.shared.obj.ch/concept#bd145036-5551-4082-ace8-2552bd226bf0;bd145036-5551-4082-ace8-2552bd226bf0;Schiessanlage;installation de tir;poligono di tiro;firing range installation;2;4;0
http://custom.shared.obj.ch/concept#dfd0879a-0423-43da-a56c-a6f41cb332e8;dfd0879a-0423-43da-a56c-a6f41cb332e8;Reptiliengebiet;zone à reptiles;area rettili;reptile area;1;2;0
http://geocat.ch/concept#150;150;Isophyse;isophyse;isofise;isophysis;3;3;0
http://custom.shared.obj.ch/concept#efbd2a87-fd26-4239-b677-ee9b92318961;efbd2a87-fd26-4239-b677-ee9b92318961;INTERREG III;INTERREG III;INTERREG III;INTERREG III;1;1;0
http://geocat.ch/concept#151;151;Jagdbanngebiet;district franc;bandita di caccia;game reserve;12;12;0
http://custom.shared.obj.ch/concept#7f070e4a-6048-44bb-baa6-302a4df3c895;7f070e4a-6048-44bb-baa6-302a4df3c895;Strasse;route;strada;road;177;179;13
http://geocat.ch/concept#154;154;Kantonsstrasse;route cantonale;strada cantonale;cantonal road;66;69;2
http://custom.shared.obj.ch/concept#262f3cc6-ce71-483b-ab79-76047ece9c48;262f3cc6-ce71-483b-ab79-76047ece9c48;Strassenachse;axe routier;asse stradale;road axis;9;9;0
http://geocat.ch/concept#219;219;Postleitzahl PLZ;numéro postal d'acheminement NPA;numero postale d'avviamento NPA;post code;8;8;0
http://custom.shared.obj.ch/concept#9cc57550-2518-4478-aebc-a64ec4b8bf68;9cc57550-2518-4478-aebc-a64ec4b8bf68;Quartier;quartier;quartiere;quarter;22;25;6
http://custom.shared.obj.ch/concept#d32de034-c790-4695-938b-bcbfefe53245;d32de034-c790-4695-938b-bcbfefe53245;Familiengarten;jardin familial;giardino di famiglia;family garden;1;1;0
http://www.geocat.ch/concept#0aed7c32-bc6b-4cda-8012-58dcebd9b3b4;0aed7c32-bc6b-4cda-8012-58dcebd9b3b4;Freizeitanlage;centre de loisirs;centro per il tempo libero;leisure facility;1;1;0
http://geocat.ch/concept#14;14;Amtliche Vermessung AV;mensuration officielle MO;misurazione ufficiale MU;cadastral surveying;530;537;5
http://custom.shared.obj.ch/concept#adab909a-7347-42bd-990a-83fbe68496a2;adab909a-7347-42bd-990a-83fbe68496a2;Historische Stätte;site historique;sito storico;historic site;9;10;1
http://custom.shared.obj.ch/concept#ca61669d-cd72-432d-949b-5328792d6ab2;ca61669d-cd72-432d-949b-5328792d6ab2;Gebäudeeingang;entrée de bâtiment;entrata d'edificio;building entrance;1;1;0
http://geocat.ch/concept#156;156;Kartografische Generalisierung;généralisation cartographique;generalizzazione cartografica;cartographic generalisation;4;4;0
http://custom.shared.obj.ch/concept#3e478930-8a66-4821-99e4-9e2a57781895;3e478930-8a66-4821-99e4-9e2a57781895;Kanton;canton;cantone;canton;189;217;6
http://custom.shared.obj.ch/concept#e570537d-bfb3-4ddd-a0c2-23b3d5243611;e570537d-bfb3-4ddd-a0c2-23b3d5243611;Gründigkeit;profondeur du sol;potenza del terreno;root penetration depth;2;2;0
http://custom.shared.obj.ch/concept#912f0579-e416-4fbe-8322-12e6b9ba5792;912f0579-e416-4fbe-8322-12e6b9ba5792;Störung;faille;faglia;fault;9;9;0
http://geocat.ch/concept#4020caf9-20f7-4cb6-bb98-712eb76860e0;4020caf9-20f7-4cb6-bb98-712eb76860e0;Point of Interest POI;point d'intérêt POI;punto di interesse POI;point of interest POI;8;8;0
http://geocat.ch/concept#38;38;Bezugssystem;système de référence;sistema di riferimento;reference system;15;15;1
http://geocat.ch/concept#298;298;Vergletscherung;glaciation;glaciazione;glaciation;9;10;0
http://geocat.ch/concept#251;251;Segelflug;vol à voile;volo a vela;glider;3;4;0
http://custom.shared.obj.ch/concept#888c7cf0-8a2f-4b22-a583-7bdce92f8367;888c7cf0-8a2f-4b22-a583-7bdce92f8367;Dauernde Bodenverschiebung;territoire en mouvement permanent;spostamento di terreno permanente;permanent landslip area;23;24;1
http://geocat.ch/concept#295;295;Unwetter;intempéries;intemperie;severe weather;2;2;0
http://custom.shared.obj.ch/concept#a30aeff5-f7d2-4d0b-89fa-ce01cf8e7f74;a30aeff5-f7d2-4d0b-89fa-ce01cf8e7f74;Makrozoobenthos;macrozoobenthos;macrozoobenthos;macrozoobenthos;1;1;0
http://custom.shared.obj.ch/concept#4775d5ab-8a76-478f-9031-48865a79d4ee;4775d5ab-8a76-478f-9031-48865a79d4ee;Quellhorizont;horizon sourcier;fonte orizzonte;spring horizon;1;1;0
http://geocat.ch/concept#48;48;DHM (Digitales Höhenmodell);MNA (modèle numérique d'altitude);DEM (modello digitale di elevazione);DEM (digital elevation model);47;47;0
http://custom.shared.obj.ch/concept#9bd3e05e-8b53-4bfa-af61-de3710f28146;9bd3e05e-8b53-4bfa-af61-de3710f28146;Allmend;allmend;almenda;common land;1;1;0
http://custom.shared.obj.ch/concept#39af3584-ccb0-49e8-bc38-4363d79e8cd3;39af3584-ccb0-49e8-bc38-4363d79e8cd3;Grundwasservorkommen;ressources en eaux souterraines;risorse idriche sotterranee;groundwater resources;10;10;1
http://geocat.ch/concept#5689ad47-2213-432f-83da-eec715b56a1f;5689ad47-2213-432f-83da-eec715b56a1f;Reservoir;réservoir;serbatoio;reservoir;1;1;0
http://custom.shared.obj.ch/concept#7a4c6992-b167-453e-aed9-bfa4a4e8aa22;7a4c6992-b167-453e-aed9-bfa4a4e8aa22;Fliessgewässer;cours d'eau;corso d'acqua;watercourse;56;59;4
http://geocat.ch/concept#161;161;Künstliches Objekt;objet artificiel;oggetto artificiale;artificial object;1;1;0
http://geocat.ch/concept#139;139;Historischer Verkehrsweg;voie de communication historique;via di communicazione storica;historic traffic route;12;12;0
http://custom.shared.obj.ch/concept#c4091aed-f568-49ea-a701-6fac3e073276;c4091aed-f568-49ea-a701-6fac3e073276;Natur;nature;natura;nature;68;88;2
http://geocat.ch/concept#160;160;Kulturgüterschutz KGS;protection des biens culturels PBC;protezione dei beni culturali PBC;protection of cultural property PCP;25;25;0
http://custom.shared.obj.ch/concept#a6d2b46e-4dc6-490e-8ca4-be8ec62ad299;a6d2b46e-4dc6-490e-8ca4-be8ec62ad299;Deckschicht;couche superficielle;strato superficiale;armour layer;2;2;1
http://www.geocat.ch/concept#b02e1d90-d67e-473d-9871-ef65428315e7;b02e1d90-d67e-473d-9871-ef65428315e7;Haltestelle;arrêt;fermata;stop;8;10;2
http://custom.shared.obj.ch/concept#5904b8ab-993e-4fe1-a3fe-69336c756242;5904b8ab-993e-4fe1-a3fe-69336c756242;Pflanzennährstoff;eléments nutritifs des plantes;impianto di nutrienti;plant nutrient;1;1;0
http://geocat.ch/concept#222;222;Quartierplan;plan de quartier;piano di quartiere;quarter map;16;17;1
http://geocat.ch/concept#128;128;Grundwasserschutzareal;périmètre de protection des eaux souterraines;area di protezione delle acque sotterranee;groundwater protection area;9;9;0
http://custom.shared.obj.ch/concept#0c8cae68-e19d-41de-8472-0645b3980657;0c8cae68-e19d-41de-8472-0645b3980657;Genauigkeit;précision;precisione;precision;1;1;0
http://custom.shared.obj.ch/concept#3a65d6b4-3722-4cc2-b21b-b77006c2e41d;3a65d6b4-3722-4cc2-b21b-b77006c2e41d;Airborne-Laser-Scanning;Airborne-Laser-Scanning;Airborne-Laser-Scanning;Airborne-Laser-Scanning;6;6;0
http://geocat.ch/concept#43bacba2-6046-4dff-9cf2-d08cf839e7ff;43bacba2-6046-4dff-9cf2-d08cf839e7ff;Holzproduktion;production de bois;produzione di legname;timber production;1;1;0
http://custom.shared.obj.ch/concept#df549034-b93d-41e5-bed1-ba6dbaec8e44;df549034-b93d-41e5-bed1-ba6dbaec8e44;Massnahme;mesure;misura;measure;1;1;0
http://custom.shared.obj.ch/concept#4cfc542a-a5ea-4493-b0e4-2a339e58e4f4;4cfc542a-a5ea-4493-b0e4-2a339e58e4f4;Ökologischer Nutzen;avantage écologique;beneficio ambientale;ecological benefit;1;1;0
http://custom.shared.obj.ch/concept#e0872afd-9fa1-4b8e-bec7-ab735faf2a53;e0872afd-9fa1-4b8e-bec7-ab735faf2a53;Projektierungszone;zone réservée;zona di progettazione;project planning zone;2;5;2
http://geocat.ch/concept#196;196;Naturschutzzone;zone naturelle protégée;zona naturale protetta;protected natural zone;16;21;2
http://geocat.ch/concept#123;123;Grossregion;grande région;grande regione;major region;3;3;0
http://geocat.ch/concept#117;117;GLONASS;GLONASS;GLONASS;GLONASS;1;1;0
http://geocat.ch/concept#226;226;Rasterdaten;données raster;dati raster;raster data;16;21;1
http://geocat.ch/concept#319;319;Weg;chemin;cammino;path;23;26;2
http://geocat.ch/concept#330;330;Zonennutzungsplan ZNP;plan d'affectation de zone PAZ;piano regolatore;zonal use plan;155;191;2
http://geocat.ch/concept#227;227;Rebbauzone;zone viticole;zona viticola;vineyard zone;14;18;0
http://custom.shared.obj.ch/concept#44157dac-756a-414b-9259-e6b0e312accb;44157dac-756a-414b-9259-e6b0e312accb;Augusta Raurica;Augusta Raurica;Augusta Raurica;Augusta Raurica;17;18;0
http://custom.shared.obj.ch/concept#0eec01de-bb61-4f43-b1e2-c06eb386037b;0eec01de-bb61-4f43-b1e2-c06eb386037b;Ausgrabung;fouille;scavo;excavation;3;3;0
http://custom.shared.obj.ch/concept#5334a3c9-a0e6-4088-a3b0-c5122fa3d1e9;5334a3c9-a0e6-4088-a3b0-c5122fa3d1e9;historischer Wasserlauf;hydrosystème fluvial historique;corso d'acqua storico;historical watercourse;1;1;0
http://geocat.ch/concept#126;126;Grundplan;fond de plan;piano di base;basic plan;48;49;1
http://geocat.ch/concept#21;21;Basiskarte;carte de base;carta di base;base map;13;14;0
http://geocat.ch/concept#229;229;Register;registre;registro;register;25;25;0
http://geocat.ch/concept#120;120;Gravimetrie;gravimétrie;gravimetria;gravimetry;11;11;0
http://geocat.ch/concept#47;47;Digitales Farborthofotomosaik;mosaïque d'orthophotos numériques en couleur;mosaico di ortofoto digitali a colori;digital color orthophoto mosaic;15;15;1
http://geocat.ch/concept#121;121;Grenzlinie;ligne de frontières;linea di confine;boundary line;1;1;0
http://geocat.ch/concept#114;114;Gewerbezone;zone artisanale;zona artigianale;artisan zone;30;30;0
http://www.geocat.ch/concept#636a7ad8-9aa3-46d0-a0ad-b325fe3ac356;636a7ad8-9aa3-46d0-a0ad-b325fe3ac356;Geodienst;géoservice;geoservizio;geoservice;25;27;2
http://geocat.ch/concept#44;44;Datenbeschreibung;description de données;descrizione di dati;data description;1;1;0
http://geocat.ch/concept#dbd14ac6-342f-40fd-b22b-e1f17f9ab485;dbd14ac6-342f-40fd-b22b-e1f17f9ab485;Fussgänger;piéton;pedone;pedestrian;20;20;1
http://custom.shared.obj.ch/concept#354272b9-e3d2-4c7a-8f1d-0f2044c73856;354272b9-e3d2-4c7a-8f1d-0f2044c73856;Biogener Abfall;déchet biogène;rifiuto biogeno;biodegradable waste;1;1;0
http://geocat.ch/concept#17;17;Antenne;antenne;antenna;antenna;43;44;0
http://geocat.ch/concept#231;231;Richtplan;plan directeur;piano direttore;structure plan;57;59;5
http://custom.shared.obj.ch/concept#c4e98ef0-cc49-4f02-aa36-d10a55a58085;c4e98ef0-cc49-4f02-aa36-d10a55a58085;Revitalisierung;revitalisation;rivitalizzazione;revitalisation;5;5;1
http://custom.shared.obj.ch/concept#ae21d759-4f43-4997-8c10-c147390a9361;ae21d759-4f43-4997-8c10-c147390a9361;Gewässerzustand;état des eaux;stato delle acque;water status;1;1;0
http://geocat.ch/concept#207;207;Ortsbild;site construit;insediamento;heritage site;11;12;2
http://custom.shared.obj.ch/concept#fb81c1a4-d869-4be4-a94d-a2985fbada3d;fb81c1a4-d869-4be4-a94d-a2985fbada3d;Harmonisierte Struktur;structure harmonisée;struttura armonizzata;harmonised structure;2;2;0
http://custom.shared.obj.ch/concept#ec664d59-d78e-49fc-95cf-7f883bb4bb8e;ec664d59-d78e-49fc-95cf-7f883bb4bb8e;Harmonisierte geologische Einheiten;unités géologiques harmonisées;unità geologiche armonizzate;harmonised geologic units;2;2;0
http://geocat.ch/concept#235;235;Rutschung;glissement de terrain;franamento;slide;53;53;0
http://geocat.ch/concept#236;236;Sammlung (Archiv, Bibliothek, Museum);collection (archive, bibliothèque, musée);collezione (archivio, biblioteca, museo);collection (archive, librarie, museum);2;2;0
http://geocat.ch/concept#246;246;Schutzwald;forêt de protection;bosco di protezione;protection forest;14;14;5
http://geocat.ch/concept#138;138;Historische Karte;carte historique;carta storica;historic map;105;105;28
http://geocat.ch/concept#7950c5b9-e991-44cd-b6e4-ee7cbdf96062;7950c5b9-e991-44cd-b6e4-ee7cbdf96062;Modelldokumentation;documentation de modèle;documentazione del modello;model documentation;167;167;0
http://custom.shared.obj.ch/concept#4c004956-f8fa-4d54-a440-fe81219bc09b;4c004956-f8fa-4d54-a440-fe81219bc09b;Biotopverbund;réseau de biotopes;reticolo biologico;biotope network;5;5;0
http://geocat.ch/concept#2;2;3D Visualisierung;visualisation 3D;visualizzazione 3D;3D visualisation;28;29;0
http://custom.shared.obj.ch/concept#03a2b111-683c-43ef-86a2-4019596f8052;03a2b111-683c-43ef-86a2-4019596f8052;Helikopterlandeplatz;héliport;eliporto;heliport;7;12;0
http://geocat.ch/concept#200;200;Nutzungszone;zone d'affectation;zona di utilizzazione;land use zone;97;98;0
http://geocat.ch/concept#78;78;Fluss;rivière;fiume;river;15;16;3
http://geocat.ch/concept#137;137;Hindernis;obstacle;ostacolo;obstacle;2;2;0
http://custom.shared.obj.ch/concept#bcc068e6-549f-47a4-aa4b-8efab1792f38;bcc068e6-549f-47a4-aa4b-8efab1792f38;Werkkataster;cadastre des usines;mappe fabbriche;factory cadastre;1;1;0
http://geocat.ch/concept#134;134;Hangneigung;déclivité;acclività;gradient;15;16;0
http://www.geocat.ch/concept#2b091dd3-308f-4739-bea0-ca349bc50bda;2b091dd3-308f-4739-bea0-ca349bc50bda;Regional;régional;regionale;regional;1;1;0
http://geocat.ch/concept#135;135;Hauptstrasse;route principale;strada principale;main road;6;6;0
http://custom.shared.obj.ch/concept#c7623af7-aa48-4ee5-b4b6-0defa4aa5602;c7623af7-aa48-4ee5-b4b6-0defa4aa5602;Sachplan;plan sectoriel;piano settoriale;sectoral plan;9;9;0
http://geocat.ch/concept#130;130;Grünzone;zone de verdure;zona verde;green belt;30;30;0
http://www.geocat.ch/concept#9ae8128e-1a43-4ba7-b9e9-04e6ccba3075;9ae8128e-1a43-4ba7-b9e9-04e6ccba3075;Veranstaltung;manifestation;manifestazioni;event;2;2;1
http://custom.shared.obj.ch/concept#4b73307b-3511-4da5-aace-b4dd801de45d;4b73307b-3511-4da5-aace-b4dd801de45d;Einleitung;introduction;introduzione;introduction;2;2;1
http://custom.shared.obj.ch/concept#03726599-c18c-4b94-8538-9cf2c57a8bbd;03726599-c18c-4b94-8538-9cf2c57a8bbd;Gutachten;préavis;preavviso;expertise;18;19;2
http://custom.shared.obj.ch/concept#2ef9e62e-6319-41f7-9409-0e572fe6a083;2ef9e62e-6319-41f7-9409-0e572fe6a083;Aufgrabung;déblai;sterro di trincea;excavation;2;2;0
http://geocat.ch/concept#5;5;Achse;axe;asse;axis;8;9;0
http://geocat.ch/concept#22;22;Baubewilligung;autorisation de construire;autorizzazione di costruzione;construction permit;4;11;0
http://geocat.ch/concept#242;242;Schummerung;ombrage;ombreggiatura;hillshade;9;9;0
http://geocat.ch/concept#107;107;Geschützte Geografische Angabe GGA;indication géographique protégée IGP;indicazione geografica protetta IGP;protected geographical indication PGI;6;6;0
http://geocat.ch/concept#37;37;Bezugsrahmen;cadre de référence;quadro di riferimento;reference frame;13;13;0
http://custom.shared.obj.ch/concept#aeed57e1-66f4-4a1b-9d24-c21ea4be954a;aeed57e1-66f4-4a1b-9d24-c21ea4be954a;ÖREB;RDPPF;RDPP;OeREB;21;27;10
http://geocat.ch/concept#108;108;Geschützte Ursprungsbezeichnung GUB;appellation d'origine protégées AOP;denominazione d'origine controllata DOP;protected designation of origin PDO;7;7;0
http://geocat.ch/concept#69;69;Fixpunkt;point fixe;punto fisso;fixpoint;54;54;0
http://geocat.ch/concept#247;247;Schutzzone;zone de protection;zona di protezione;protection zone;22;23;0
http://custom.shared.obj.ch/concept#12ac299e-68d9-4a47-954a-e9421cd10511;12ac299e-68d9-4a47-954a-e9421cd10511;Abfallholz;déchet de bois;materiale di scarto;cullwood;1;2;1
http://geocat.ch/concept#241;241;Schloss;château;castello;castle;4;4;0
http://custom.shared.obj.ch/concept#e3630db2-9af1-4ac7-82e6-2453e64afa14;e3630db2-9af1-4ac7-82e6-2453e64afa14;Verkehrsbelastung;charge de trafic;carico di traffico;traffic load;10;10;0
http://custom.shared.obj.ch/concept#fbd3b6b5-0387-4ba8-ae2a-1c57f95383a5;fbd3b6b5-0387-4ba8-ae2a-1c57f95383a5;Fliessrichtung;direction d'écoulement;direzione della corrente;flow direction;1;1;0
http://custom.shared.obj.ch/concept#86a64841-0b80-4c47-8d1a-d10710a7dd26;86a64841-0b80-4c47-8d1a-d10710a7dd26;Betrieb;exploitation;funzionamento;operation;18;18;1
http://custom.shared.obj.ch/concept#1d01ca9a-d50b-459a-b056-2241541819a3;1d01ca9a-d50b-459a-b056-2241541819a3;Heuschrecke;criquet;locusta;locust;1;1;0
http://custom.shared.obj.ch/concept#dc9bcbde-13cd-4479-a78b-0863f622502b;dc9bcbde-13cd-4479-a78b-0863f622502b;Wasserleitung;conduite d'eau;condotta d'acqua;water pipe;75;77;0
http://www.geocat.ch/concept#8eee4b11-ead5-4020-ad61-f0d2924b5b21;8eee4b11-ead5-4020-ad61-f0d2924b5b21;Zeckenenzephalitis;encéphalite à tiques;encefalite da morso di zecca;tick-borne encephalitis;1;1;0
http://www.geocat.ch/concept#e8c53eaf-f6ec-4330-b78a-a93ee9e470e7;e8c53eaf-f6ec-4330-b78a-a93ee9e470e7;FISE (Forest Information System for Europe);FISE (Forest Information System for Europe);FISE (Forest Information System for Europe);FISE (Forest Information System for Europe);3;3;0
http://custom.shared.obj.ch/concept#ed69e5ee-89ae-4511-9e0f-99f070d0d6d6;ed69e5ee-89ae-4511-9e0f-99f070d0d6d6;Oberflächengeologie;géologie de la surface;geologia superficiale;surface geology;2;2;0
http://custom.shared.obj.ch/concept#a7b948b7-f5da-4c6a-9047-d562ea293113;a7b948b7-f5da-4c6a-9047-d562ea293113;Oberflächenablagerung;dépôt superficiel;depositi superficiali;superficial deposit;1;1;0
http://geocat.ch/concept#100;100;Geologische Karte;carte géologique;carta geologica;geologic map;36;37;0
http://geocat.ch/concept#91;91;Gefahrenkarte;carte des dangers;carta dei pericoli;hazard map;62;65;9
http://custom.shared.obj.ch/concept#0b763f09-207e-4383-aede-3b81b30d8c4e;0b763f09-207e-4383-aede-3b81b30d8c4e;Positionierungsdienst;service de positionnement;servizio di posizionamento;positioning service;2;2;0
http://geocat.ch/concept#101;101;Geomarketing;géomarketing;geomarketing;geomarketing;1;1;0
http://www.geocat.ch/concept#2ca4dc33-0955-45e9-92d7-0a92a82d0641;2ca4dc33-0955-45e9-92d7-0a92a82d0641;geodienste.ch;geodienste.ch;geodienste.ch;geodienste.ch;46;49;3
http://custom.shared.obj.ch/concept#ad7dd875-0806-4aad-9175-d1f673a2507e;ad7dd875-0806-4aad-9175-d1f673a2507e;GeoMol;GeoMol;GeoMol;GeoMol;5;6;0
http://geocat.ch/concept#249;249;Seebodenkurve;courbe des fonds des lacs;quota altimetrica dei laghi;contour in lakes;4;4;0
http://www.geocat.ch/concept#53bae33f-afd0-45f1-861c-4534a1795217;53bae33f-afd0-45f1-861c-4534a1795217;Hochmoor;haut-marais;torbiera alta;raised bog;17;17;1
http://custom.shared.obj.ch/concept#c806316f-0390-4e1a-bc72-71e66c2003aa;c806316f-0390-4e1a-bc72-71e66c2003aa;Gasleitung;conduite de gaz;condotta di gas;gas pipeline;32;34;0
http://geocat.ch/concept#5cef859a-3020-4a7a-a3e6-bc0dd725c6f9;5cef859a-3020-4a7a-a3e6-bc0dd725c6f9;Treffpunkt;lieu de rencontre;luogo di ritrovo;meeting point;1;1;0
http://geocat.ch/concept#104;104;Geotop;géotope;geotopo;geotope;7;7;0
http://custom.shared.obj.ch/concept#38bc0707-c997-44f1-b8f8-a909f1096b78;38bc0707-c997-44f1-b8f8-a909f1096b78;Zecke;tique;zecca;tick;1;1;0
http://geocat.ch/concept#212;212;Ortung;repérage;localizzazione;locating;19;19;0
http://geocat.ch/concept#15;15;Anbaueignung;aptitude culturale;attitudine alla coltura;cultivation suitability;21;21;0
http://custom.shared.obj.ch/concept#e98d91f6-9a04-4ade-b30b-6f17f35a6996;e98d91f6-9a04-4ade-b30b-6f17f35a6996;Kulturgeschichte;histoire culturelle;storia culturale;cultural history;2;2;0
http://custom.shared.obj.ch/concept#1fc4cafb-d9ad-428b-b952-cbb852e3de74;1fc4cafb-d9ad-428b-b952-cbb852e3de74;INSPIRE;INSPIRE;INSPIRE;INSPIRE;90;97;0
http://geocat.ch/concept#257;257;Siedlungsgebiet;milieu bâti;zona di insediamento;settlement area;11;14;0
http://geocat.ch/concept#119;119;GPS (Global Positioning System);GPS (Global Positioning System);GPS (Global Positioning System);GPS (Global Positioning System);1;3;0
http://custom.shared.obj.ch/concept#34fad600-90f2-4a30-b4b0-a565edccb82d;34fad600-90f2-4a30-b4b0-a565edccb82d;WMS;WMS;WMS;WMS;25;27;2
http://geocat.ch/concept#258;258;Signalisierung;signalisation;segnalizzazione;signalling;0;3;0
http://geocat.ch/concept#253;253;Seilbahnstation;station téléférique;stazione teleferica;cableway station;1;1;0
http://geocat.ch/concept#116;116;Gleitschirm;parapente;parapendio;paragliding;0;3;0
http://custom.shared.obj.ch/concept#4e5d3d6c-3515-4f90-b518-e8825170f12c;4e5d3d6c-3515-4f90-b518-e8825170f12c;Wasserprozess;processus hydrologique;processo idrologico;water related process;1;2;0
