;TECHPUBLAYERNAME;uuid
312;ch.bak.bundesinventar-schuetzenswerte-ortsbilder;954451d0-f68a-4785-92e1-60aff077dd91
313;ch.bak.bundesinventar-schuetzenswerte-ortsbilder_fotos;b9c1d690-008f-494c-a47f-ec96d9a8d84f
314;ch.bak.schutzgebiete-unesco_weltkulturerbe;fb349ad4-5e01-43b7-9fcd-a0f60ae9c4db
