;TECHPUBLAYERNAME;uuid
605;ch.swisstopo.geologie-geomol-temperaturverteilung_2000;ac604460-7a7a-44c5-bc5a-41062fbd21ff
606;ch.swisstopo.geologie-geomol-temperaturverteilung_3000;47f79661-212e-4297-b048-2606db7affa8
607;ch.swisstopo.geologie-geomol-temperaturverteilung_4000;739e9095-77f6-462d-9a1e-438898cf0c9c
608;ch.swisstopo.geologie-geomol-temperaturverteilung_500;08e66941-4ebb-4017-8018-b39caa8fd107
609;ch.swisstopo.geologie-geomorphologie;1bf16162-a44c-4970-9da1-044383bacff8
610;ch.swisstopo.geologie-geophysik-aeromagnetische_karte_jura;f952b9be-9a11-478c-a21c-9d5e8631c7c2
611;ch.swisstopo.geologie-geophysik-aeromagnetische_karte_schweiz;4cc706a2-0005-4cc6-8326-7b944a1d5b05
612;ch.swisstopo.geologie-geophysik-deklination;8f38b25f-f984-450a-ae48-02290e82136c
613;ch.swisstopo.geologie-geophysik-geothermie;2d8174b2-8c4a-44ea-b470-cb3f216b90d1
614;ch.swisstopo.geologie-geophysik-inklination;639c0536-bfea-44d3-b088-ed7b6b43cde9
615;ch.swisstopo.geologie-geophysik-totalintensitaet;132d9ff6-92de-4c02-87a7-72df26bcb33e
616;ch.swisstopo.geologie-geosites;af46b0e7-25b4-49ca-a357-c0ab6e794dd6
617;ch.swisstopo.geologie-geotechnik-gk200;6dd16d72-047b-4489-91dc-b36eeabf972e
618;ch.swisstopo.geologie-geotechnik-gk500-genese;65652bdd-76e3-4df2-9329-140a04a2a66c
619;ch.swisstopo.geologie-geotechnik-gk500-gesteinsklassierung;f2c81b93-f0c5-4899-83a9-974ce36c48e6
620;ch.swisstopo.geologie-geotechnik-gk500-lithologie_hauptgruppen;435522fb-599e-41c0-a7c0-49d922ea6acf
621;ch.swisstopo.geologie-geotechnik-mineralische_rohstoffe200;d86f291c-49b8-4bc8-93f7-dbab48dcb26c
622;ch.swisstopo.geologie-geotechnik-steinbrueche_1915;e9fb4d2c-8843-4586-b6f3-c9276a6d2890
623;ch.swisstopo.geologie-geotechnik-steinbrueche_1965;375ee9c3-11ea-405f-aefe-1e26cec99003
624;ch.swisstopo.geologie-geotechnik-steinbrueche_1980;d2420114-b83d-4658-b205-4ccf8e4d1a07
625;ch.swisstopo.geologie-geotechnik-steinbrueche_1995;1c7751e9-9909-45c2-ab3a-daff34a56ef1
626;ch.swisstopo.geologie-geotechnik-steine_historische_bauwerke;efe1b3cf-dac4-4660-a5bd-a9269a3d97db
627;ch.swisstopo.geologie-geotechnik-zementindustrie_1965;900f56f2-31d0-4b97-a1af-fa016df24193
628;ch.swisstopo.geologie-geotechnik-zementindustrie_1995;895a5d84-485e-4e47-b76e-2ab0283b0655
629;ch.swisstopo.geologie-geotechnik-ziegeleien_1907;060d2502-5eb7-4a0a-9364-e36b0fd12a2e
630;ch.swisstopo.geologie-geothermische_potenzialstudien_regional;1c050393-fe3a-41b1-a31e-3173f51181d8
631;ch.swisstopo.geologie-geotope;e7dd54e9-fc98-4e5c-b46a-694d1ba6c84e
632;ch.swisstopo.geologie-geotope_kantone_stand;c4d2c1b0-b075-4d7b-be7c-54d26411cda3
633;ch.swisstopo.geologie-geowege;3356602e-23d5-4e42-9d75-55fe9cc2daba
634;ch.swisstopo.geologie-gesteinsdichte;c4a7ceb5-8bf5-457d-ab0a-57216dafce53
635;ch.swisstopo.geologie-gletscherausdehnung;f6fb6139-f13e-4a56-bf01-01b7dd4358d5
636;ch.swisstopo.geologie-gletschermaechtigkeit;57052989-5074-4841-abb6-22d1989d615f
637;ch.swisstopo.geologie-gravimetrischer_atlas;732cb247-8307-4cc7-8c31-b1c505a94633
638;ch.swisstopo.geologie-gravimetrischer_atlas.messpunkte;297a1958-3636-45af-a17c-e90120605132
639;ch.swisstopo.geologie-gravimetrischer_atlas_papier.metadata;2f9315dd-3d8f-4248-850c-46270e47dfe7
640;ch.swisstopo.geologie-grundwasservorkommen_papier.metadata;af399b45-c233-48ec-a500-e6eb503b07dd
641;ch.swisstopo.geologie-grundwasservulnerabilitaet_papier.metadata;7f8e47fa-cd31-4ff2-808e-6262aaea019b
642;ch.swisstopo.geologie-hydrogeologische_karte-grundwasservorkommen;f198f6f6-8efa-4235-a55f-99767ea0206c
643;ch.swisstopo.geologie-hydrogeologische_karte-grundwasservulnerabilitaet;b8efde6b-7323-4496-aa70-b976ec55cec9
644;ch.swisstopo.geologie-lockergestein_maechtigkeitsmodell;99eb4571-4c34-48cc-bd6a-32fd9decc2a7
645;ch.swisstopo.geologie-rohstoffe-gebrochene_gesteine_abbau;bb682732-ca6d-43f4-8c95-760b76004b22
646;ch.swisstopo.geologie-rohstoffe-gips_abbau_verarbeitung;33f974a7-8852-449d-ba68-646b10710f60
647;ch.swisstopo.geologie-rohstoffe-industrieminerale;ec3471db-6e86-4148-abbf-d702196381bd
648;ch.swisstopo.geologie-rohstoffe-kohlen_bitumen_erdgas;ee51374d-1472-44bd-a5a7-c65c4e46f3b4
649;ch.swisstopo.geologie-rohstoffe-naturwerksteine_abbau;0b22a108-693c-4b6e-9e43-7614eb0e0bc3
650;ch.swisstopo.geologie-rohstoffe-salz_abbau_verarbeitung;e5bed380-6a35-46c9-97c9-0cbf5875f292
651;ch.swisstopo.geologie-rohstoffe-vererzungen;46dd5d50-6f7e-4175-ab64-051b16750e38
652;ch.swisstopo.geologie-rohstoffe-zement_abbau_verarbeitung;9128ae2a-acdf-42cf-bb67-00755f0857fb
653;ch.swisstopo.geologie-rohstoffe-ziegel_abbau;3d0120f4-34b2-40cf-b61c-127bd9a27522
654;ch.swisstopo.geologie-rohstoffe-ziegel_verarbeitung;93ad193c-cb3e-48a4-8977-6775c403c579
655;ch.swisstopo.geologie-spezialkarten_schweiz.metadata;5a7e79b5-0aef-4514-9df4-62fb92edee97
656;ch.swisstopo.geologie-spezialkarten_schweiz_papier.metadata;0d93edd4-5ab4-47e1-b119-6df7289eb429
657;ch.swisstopo.geologie-spezialkarten_schweiz_vector.metadata;b15b89ac-d7e5-412c-bd4a-5077c935806c
658;ch.swisstopo.geologie-tektonische_karte;a4cdef47-505e-41ab-b6a7-ad5b92d80e41
659;ch.swisstopo.geologie-tektonische_karte_papier.metadata;9a6cf8f1-2475-4085-b202-8cd0fe0f0ca8
660;ch.swisstopo.geologie-tiefengeothermie_projekte;2df11e59-d85a-40cf-98cf-4b941577e23c
661;ch.swisstopo.hebungsraten;80a03e2f-7827-4497-8f0a-62ab8816d609
662;ch.swisstopo.hiks-dufour.metadata;bfa9994f-c8b1-4dc1-90b2-fe1211bf2d22
