;number;layer;TECHPUBLAYERNAME;uuid
200;201;ch.bafu.neophyten-grosser_wassernabel (Grosser Wassernabel);ch.bafu.neophyten-grosser_wassernabel;208f375a-9bd6-4f1a-9228-8c200f0e4bbb
201;202;ch.bafu.neophyten-haargurke (Haargurke);ch.bafu.neophyten-haargurke;ffdd90e3-55a6-4924-bf64-b9904f5d2437
202;203;ch.bafu.neophyten-henrys_geissblatt (Henrys Geissblatt);ch.bafu.neophyten-henrys_geissblatt;011f2b38-a7e3-49c9-a40f-99d5f0548928
203;204;ch.bafu.neophyten-herbst_traubenkirsche (Herbst-Traubenkirsche);ch.bafu.neophyten-herbst_traubenkirsche;e3935c69-5dbd-4196-9197-0f725d557845
204;205;ch.bafu.neophyten-igelgurke (Igelgurke);ch.bafu.neophyten-igelgurke;fd69e7f3-22f7-4497-bb1f-4d21c892d9b2
205;206;ch.bafu.neophyten-japanischer_staudenknoeterich (Japanischer Staudenknöterich);ch.bafu.neophyten-japanischer_staudenknoeterich;80daeffb-34ec-4c35-8b6c-b34bda79a3db
206;207;ch.bafu.neophyten-japanisches_geissblatt (Japanisches Geissblatt);ch.bafu.neophyten-japanisches_geissblatt;a5bd8033-8457-486b-b099-2e6f3f7864a8
207;208;ch.bafu.neophyten-kanadische_goldrute (Kanadische Goldrute);ch.bafu.neophyten-kanadische_goldrute;ef8df535-27b5-4031-a967-9e9b93befd8f
208;209;ch.bafu.neophyten-kanadische_wasserpest (Kanadische Wasserpest);ch.bafu.neophyten-kanadische_wasserpest;ae20bec0-b123-41a3-b508-02d6c1303595
209;210;ch.bafu.neophyten-karolina_haarnixe (Karolina-Haarnixe);ch.bafu.neophyten-karolina_haarnixe;dc375985-e3c2-4d7e-a3c3-f13b91ef4a68
210;211;ch.bafu.neophyten-kaukasus_fettkraut (Kaukasus-Fettkraut);ch.bafu.neophyten-kaukasus_fettkraut;d628a1a7-bd94-4789-906c-99b8abd06c45
211;212;ch.bafu.neophyten-kirschlorbeer (Kirschlorbeer);ch.bafu.neophyten-kirschlorbeer;1b6ad787-5f95-42b4-8340-e62179de313e
212;213;ch.bafu.neophyten-kletternder_giftsumach (Kletternder Giftsumach);ch.bafu.neophyten-kletternder_giftsumach;cdabe2f9-7688-42a2-8c8c-d4f8b2a42fc7
213;214;ch.bafu.neophyten-kopoubohne (Kopoubohne);ch.bafu.neophyten-kopoubohne;c6be015b-c317-4f08-8f0b-72703e29377e
214;215;ch.bafu.neophyten-mahonie (Mahonie);ch.bafu.neophyten-mahonie;aac71816-fe8f-4621-aa32-fb51444edfdf
215;216;ch.bafu.neophyten-nadelkraut (Nadelkraut);ch.bafu.neophyten-nadelkraut;3a4b34cb-354c-44ba-87df-ca8dbe7c2e20
216;217;ch.bafu.neophyten-nuttalls_wasserpest (Nuttalls Wasserpest);ch.bafu.neophyten-nuttalls_wasserpest;d4de71b5-a275-4475-b3e9-dc35e2aba4cf
217;218;ch.bafu.neophyten-portulak_heusenkraut (Portulak-Heusenkraut);ch.bafu.neophyten-portulak_heusenkraut;01a84c21-44b3-4bd4-be2b-e6def443a08f
218;219;ch.bafu.neophyten-riesenbaerenklau (Riesenbärenklau);ch.bafu.neophyten-riesenbaerenklau;98b43c26-0f11-4c58-af85-b007712b17b0
219;220;ch.bafu.neophyten-robinie (Robinie);ch.bafu.neophyten-robinie;b5012ebd-8eef-46ef-b0e1-b9a848f10dbc
220;221;ch.bafu.neophyten-runzelblaettriger_schneeball (Runzelblättriger Schneeball);ch.bafu.neophyten-runzelblaettriger_schneeball;c128b3e5-6620-41f0-a8f7-3cb7dd228f99
221;222;ch.bafu.neophyten-sachalin_staudenknoeterich (Sachalin-Staudenknöterich);ch.bafu.neophyten-sachalin_staudenknoeterich;ae7db8c9-3bb8-43ca-a5d1-99de05cd8d32
222;223;ch.bafu.neophyten-schmetterlingsstrauch (Schmetterlingsstrauch);ch.bafu.neophyten-schmetterlingsstrauch;b0658eec-d604-4490-910c-e7117c0444bb
223;224;ch.bafu.neophyten-seidiger_hornstrauch (Seidiger Hornstrauch);ch.bafu.neophyten-seidiger_hornstrauch;93c4e4a5-dc4d-40bc-9a79-728f133abcbb
224;225;ch.bafu.neophyten-spaetbluehende_goldrute (Spätblühende Goldrute);ch.bafu.neophyten-spaetbluehende_goldrute;407f5593-f5a3-497d-a5fa-97354027085c
225;226;ch.bafu.neophyten-suedafrikanisches_greiskraut (Südafrikanisches Greiskraut);ch.bafu.neophyten-suedafrikanisches_greiskraut;a7579e76-c854-431b-ab03-6e773c2da82e
226;227;ch.bafu.neophyten-syrische_seidenpflanze (Syrische Seidenpflanze);ch.bafu.neophyten-syrische_seidenpflanze;c0858914-d721-42a3-b856-a3b786d99762
227;228;ch.bafu.neophyten-topinambur (Topinambur);ch.bafu.neophyten-topinambur;3d459271-5d29-4454-b416-3cdcc15bff7f
228;229;ch.bafu.neophyten-verlotscher_beifuss (Verlotscher Beifuss);ch.bafu.neophyten-verlotscher_beifuss;9c64b6c9-57a6-4da6-b46c-df7f5fb4706e
229;230;ch.bafu.neophyten-vielaehriger_knoeterich (Vielähriger Knöterich);ch.bafu.neophyten-vielaehriger_knoeterich;e125626e-bd88-4401-94f7-b41f7f09b835
230;231;ch.bafu.neophyten-vielblaettrige_lupine (Vielblättrige Lupine);ch.bafu.neophyten-vielblaettrige_lupine;e3af5881-4a91-42aa-bec8-ba759279f3f1
